calc_R11,calc_R12,calc_R13,calc_01,calc_R21,calc_R22,calc_R23,calc_02,calc_R31,calc_R32,calc_R33,calc_03,calc_TX,calc_TY,calc_TZ,calc_1
-0.235944643,0.213218246,0.948086549,0,0.900326672,0.415125772,0.130699952,0,-0.365707546,0.884425561,-0.289912776,0,-4.136025755,-7.188290184,0.317897979,1
-0.252538734,0.224067453,0.941285273,0,0.896500616,0.420173018,0.140503668,0,-0.364020374,0.879345445,-0.306986571,0,-4.071893953,-7.20776445,0.409897751,1
-0.269169678,0.234815739,0.934028508,0,0.892416788,0.425474133,0.150213312,0,-0.362132519,0.873975589,-0.324078243,0,-4.008321398,-7.225136549,0.504710212,1
-0.285694781,0.245353713,0.926380077,0,0.888127622,0.43093488,0.159763748,0,-0.360010859,0.868387405,-0.341021256,0,-3.946489164,-7.240159858,0.600790965,1
-0.302083022,0.25572447,0.918341354,0,0.883678149,0.436468181,0.169140343,0,-0.357573456,0.862612614,-0.357827754,0,-3.88745123,-7.252995422,0.69829624,1
-0.318325299,0.265952785,0.909911051,0,0.879084473,0.442047898,0.178337167,0,-0.354795001,0.856657909,-0.374509993,0,-3.831533856,-7.263724772,0.797369481,1
-0.334380489,0.276060342,0.901099537,0,0.874379205,0.447624972,0.187330962,0,-0.351640006,0.850542516,-0.39105848,0,-3.779365348,-7.272443695,0.897969205,1
-0.350214683,0.286099752,0.891906165,0,0.869586215,0.453179183,0.196082744,0,-0.348094083,0.844260363,-0.407498404,0,-3.731320417,-7.279280006,1.000473115,1
-0.35954943,0.300150018,0.883535044,0,0.867277213,0.45687479,0.197726227,0,-0.344317357,0.837362163,-0.424582342,0,-3.710126768,-7.304836896,1.154967062,1
-0.368841945,0.314300018,0.874740601,0,0.864905795,0.460735689,0.199149668,0,-0.340431469,0.830022966,-0.441778554,0,-3.689841433,-7.327562508,1.313339554,1
-0.378079711,0.328537704,0.865516441,0,0.862469823,0.464773886,0.200327328,0,-0.33645436,0.82222151,-0.459075432,0,-3.670355667,-7.347253941,1.475614696,1
-0.387269711,0.342838617,0.855852706,0,0.859955254,0.469016747,0.201246744,0,-0.332414097,0.813931799,-0.47646185,0,-3.651331862,-7.363663473,1.641787949,1
-0.396423971,0.35716673,0.845742255,0,0.857351528,0.473476912,0.201910802,0,-0.32832361,0.805140696,-0.493915039,0,-3.632558826,-7.376546152,1.811681787,1
-0.405530136,0.371492423,0.835187816,0,0.85466415,0.478142672,0.202308614,0,-0.324182817,0.795847325,-0.511402519,0,-3.614117409,-7.385708327,1.985034435,1
-0.414562162,0.385788823,0.824199732,0,0.851910536,0.482981836,0.202427728,0,-0.319979145,0.786063312,-0.528883557,0,-3.596310234,-7.391004234,2.161480015,1
-0.42350542,0.400033584,0.812783053,0,0.849103879,0.487967009,0.202264188,0,-0.315698847,0.775797223,-0.546326741,0,-3.579378628,-7.392301477,2.340729486,1
-0.432338028,0.414191084,0.800955414,0,0.846261984,0.493060635,0.201821369,0,-0.311326973,0.76507317,-0.563683031,0,-3.563627704,-7.389503404,2.522248641,1
-0.441042389,0.428239095,0.788728653,0,0.843398875,0.498235294,0.201096818,0,-0.306854933,0.75390508,-0.580919255,0,-3.549271315,-7.382524567,2.705694072,1
-0.449582025,0.442161712,0.776124361,0,0.840541251,0.503446189,0.200080833,0,-0.302268768,0.742317287,-0.597995516,0,-3.536708856,-7.371338322,2.890641933,1
-0.457910515,0.455958941,0.763164075,0,0.837722523,0.508643344,0.198753422,0,-0.297554928,0.730331016,-0.61488021,0,-3.526409636,-7.355948888,3.07678031,1
-0.466016167,0.469604498,0.74986702,0,0.834951761,0.513808311,0.197120717,0,-0.292719131,0.717964229,-0.631540082,0,-3.518413945,-7.33632158,3.26369792,1
-0.473901951,0.483059512,0.736254337,0,0.832226193,0.518938633,0.195198,0,-0.287778568,0.705234857,-0.64794081,0,-3.512545638,-7.312418099,3.450932313,1
-0.481546214,0.496292213,0.722362294,0,0.829560786,0.524005794,0.192994378,0,-0.28274042,0.692179144,-0.664037564,0,-3.508902357,-7.284301362,3.63787665,1
-0.488922304,0.509276686,0.708231768,0,0.826975302,0.528974465,0.190519987,0,-0.277609133,0.678839651,-0.679786656,0,-3.507649685,-7.252092977,3.823908618,1
-0.49600602,0.521991291,0.693904259,0,0.824485123,0.533819722,0.187778555,0,-0.272401008,0.665253032,-0.69515185,0,-3.508815966,-7.215922488,4.008491592,1
-0.502780816,0.534413776,0.679421347,0,0.822098721,0.53852831,0.184772702,0,-0.267142552,0.651451591,-0.710102585,0,-3.512276316,-7.175921024,4.191143183,1
-0.509238967,0.546520702,0.664823884,0,0.819818537,0.543095274,0.181507822,0,-0.261864926,0.6374658,-0.724613079,0,-3.517799647,-7.132227953,4.371416776,1
-0.515350044,0.558305391,0.650161074,0,0.817660724,0.54750165,0.177968772,0,-0.256603336,0.623327389,-0.73865939,0,-3.525277852,-7.085024457,4.548915548,1
-0.521378497,0.56077376,0.643193014,0,0.81516802,0.550185804,0.181098539,0,-0.252320357,0.61873126,-0.743979883,0,-3.519717642,-7.072282147,4.600159187,1
-0.527315418,0.563231526,0.636167194,0,0.812664148,0.55288082,0.184118936,0,-0.248023051,0.614079024,-0.749260648,0,-3.514670521,-7.059032148,4.651731808,1
-0.533152719,0.56567339,0.629096013,0,0.810154571,0.555580689,0.187028526,0,-0.243716536,0.609379778,-0.754492237,0,-3.510150289,-7.045307269,4.703494736,1
-0.538886364,0.568095597,0.621987845,0,0.807643602,0.558279961,0.189829652,0,-0.239401961,0.604641115,-0.759668233,0,-3.506182059,-7.031136637,4.755341457,1
-0.544511251,0.570495237,0.614851756,0,0.805136557,0.560971786,0.192524752,0,-0.235080034,0.599871519,-0.76478202,0,-3.502803824,-7.016556262,4.807160116,1
-0.550023677,0.572871669,0.607694007,0,0.80263856,0.563649461,0.195116955,0,-0.230749424,0.595077588,-0.769829441,0,-3.50006426,-7.001596734,4.858871651,1
-0.555434325,0.575221894,0.600510186,0,0.80014436,0.566320244,0.197611701,0,-0.226410498,0.59025516,-0.774814257,0,-3.49788837,-6.986233832,4.910509961,1
-0.560752561,0.577536603,0.593302653,0,0.797648821,0.568989512,0.200018235,0,-0.222065135,0.585407899,-0.779733716,0,-3.496195167,-6.970475248,4.962004861,1
-0.565984617,0.579818547,0.586064729,0,0.795150454,0.57165927,0.202339898,0,-0.217708909,0.580530905,-0.784593334,0,-3.494988457,-6.954297914,5.013425315,1
-0.571136082,0.582070576,0.578789617,0,0.792647963,0.574331279,0.204579541,0,-0.21333725,0.575619168,-0.789398373,0,-3.494277028,-6.937677262,5.064840265,1
-0.576212188,0.584292344,0.571473508,0,0.790139495,0.577007673,0.206740716,0,-0.208947581,0.57067031,-0.794151312,0,-3.494051666,-6.920598127,5.116276995,1
-0.581217213,0.586484228,0.564112402,0,0.78762375,0.579689942,0.208826242,0,-0.204536988,0.565681732,-0.798854679,0,-3.494313017,-6.903044373,5.167767022,1
